Sample_ID	pmi	predicted	rat1	rat2	method
PMI_rat_muscle_44A	93	94.89366666666668	PMI_rat_muscle_29A	PMI_rat_muscle_44A	Random Forest
PMI_rat_muscle_13A	24	26.491566666666678	PMI_rat_muscle_29A	PMI_rat_muscle_13A	Random Forest
PMI_rat_muscle_13A	24	26.273700000000005	PMI_rat_muscle_29A	PMI_rat_muscle_13A	Random Forest
PMI_rat_muscle_7A	0	0.044	PMI_rat_muscle_29A	PMI_rat_muscle_7A	Random Forest
PMI_rat_muscle_7A	0	0.13	PMI_rat_muscle_29A	PMI_rat_muscle_7A	Random Forest
PMI_rat_muscle_17A	23	22.1038	PMI_rat_muscle_29A	PMI_rat_muscle_17A	Random Forest
PMI_rat_muscle_1A	0	1.5272999999999999	PMI_rat_muscle_29A	PMI_rat_muscle_1A	Random Forest
PMI_rat_muscle_32A	49	47.09	PMI_rat_muscle_29A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_32A	49	47.783999999999985	PMI_rat_muscle_29A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_42A	72	76.97933333333333	PMI_rat_muscle_29A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_42A	72	76.15500000000002	PMI_rat_muscle_29A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_47A	95	92.09719999999994	PMI_rat_muscle_29A	PMI_rat_muscle_47A	Random Forest
PMI_rat_muscle_31A	47	40.24366666666664	PMI_rat_muscle_29A	PMI_rat_muscle_31A	Random Forest
PMI_rat_muscle_38A	71	70.14166666666668	PMI_rat_muscle_29A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_38A	71	69.22566666666667	PMI_rat_muscle_29A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_4A	0	0.046	PMI_rat_muscle_29A	PMI_rat_muscle_4A	Random Forest
PMI_rat_muscle_30A	47	46.49466666666669	PMI_rat_muscle_29A	PMI_rat_muscle_30A	Random Forest
PMI_rat_muscle_33A	71	73.21953333333335	PMI_rat_muscle_29A	PMI_rat_muscle_33A	Random Forest
PMI_rat_muscle_35A	70	68.58733333333333	PMI_rat_muscle_29A	PMI_rat_muscle_35A	Random Forest
PMI_rat_muscle_14A	23	23.91033333333332	PMI_rat_muscle_29A	PMI_rat_muscle_14A	Random Forest
PMI_rat_muscle_22A	22	19.28066666666667	PMI_rat_muscle_29A	PMI_rat_muscle_22A	Random Forest
PMI_rat_muscle_16A	22	20.87939047619047	PMI_rat_muscle_29A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_16A	22	20.386790476190473	PMI_rat_muscle_29A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_24A	46	47.131466666666675	PMI_rat_muscle_29A	PMI_rat_muscle_24A	Random Forest
PMI_rat_muscle_37A	72	71.0983666666666	PMI_rat_muscle_29A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_37A	72	72.01113333333329	PMI_rat_muscle_29A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_2A	0	1.057	PMI_rat_muscle_29A	PMI_rat_muscle_2A	Random Forest
PMI_rat_muscle_5A	0	0.5763333333333334	PMI_rat_muscle_29A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_5A	0	0.6183333333333334	PMI_rat_muscle_29A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_28A	47	49.931733333333355	PMI_rat_muscle_29A	PMI_rat_muscle_28A	Random Forest
PMI_rat_muscle_41A	72	73.937	PMI_rat_muscle_29A	PMI_rat_muscle_41A	Random Forest
PMI_rat_muscle_50A	97	90.20634285714284	PMI_rat_muscle_29A	PMI_rat_muscle_50A	Random Forest
PMI_rat_muscle_45A	96	94.17533333333334	PMI_rat_muscle_29A	PMI_rat_muscle_45A	Random Forest
PMI_rat_muscle_51A	96	85.28666666666668	PMI_rat_muscle_29A	PMI_rat_muscle_51A	Random Forest
PMI_rat_muscle_40A	71	68.57833333333335	PMI_rat_muscle_29A	PMI_rat_muscle_40A	Random Forest
PMI_rat_muscle_27A	45	52.48839047619048	PMI_rat_muscle_29A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_27A	45	51.03107142857143	PMI_rat_muscle_29A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_12A	22	25.488866666666684	PMI_rat_muscle_29A	PMI_rat_muscle_12A	Random Forest
PMI_rat_muscle_10A	0	3.262780952380953	PMI_rat_muscle_29A	PMI_rat_muscle_10A	Random Forest
PMI_rat_muscle_43A	94	86.045	PMI_rat_muscle_29A	PMI_rat_muscle_43A	Random Forest
PMI_rat_muscle_3A	0	0.0885	PMI_rat_muscle_29A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_3A	0	0.08804761904761906	PMI_rat_muscle_29A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_11A	0	0.274	PMI_rat_muscle_29A	PMI_rat_muscle_11A	Random Forest
PMI_rat_muscle_8A	0	0.042666666666666665	PMI_rat_muscle_29A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_8A	0	0.13266666666666665	PMI_rat_muscle_29A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_25A	48	50.76855714285712	PMI_rat_muscle_29A	PMI_rat_muscle_25A	Random Forest
PMI_rat_muscle_52A	95	94.95177142857136	PMI_rat_muscle_29A	PMI_rat_muscle_52A	Random Forest
PMI_rat_muscle_6A	0	1.649142857142857	PMI_rat_muscle_29A	PMI_rat_muscle_6A	Random Forest
PMI_rat_muscle_20A	25	26.807000000000002	PMI_rat_muscle_29A	PMI_rat_muscle_20A	Random Forest
PMI_rat_muscle_34A	69	65.32833333333335	PMI_rat_muscle_29A	PMI_rat_muscle_34A	Random Forest
PMI_rat_muscle_9A	0	0	PMI_rat_muscle_29A	PMI_rat_muscle_9A	Random Forest
PMI_rat_muscle_26A	45	41.46534761904759	PMI_rat_muscle_29A	PMI_rat_muscle_26A	Random Forest
PMI_rat_muscle_48A	95	94.5366	PMI_rat_muscle_29A	PMI_rat_muscle_48A	Random Forest
PMI_rat_muscle_18A	23	22.59313333333332	PMI_rat_muscle_29A	PMI_rat_muscle_18A	Random Forest
PMI_rat_muscle_23A	45	47.45436666666667	PMI_rat_muscle_29A	PMI_rat_muscle_23A	Random Forest
PMI_rat_muscle_23A	45	46.60289999999999	PMI_rat_muscle_29A	PMI_rat_muscle_23A	Random Forest
PMI_rat_muscle_19A	24	24.304333333333336	PMI_rat_muscle_29A	PMI_rat_muscle_19A	Random Forest
PMI_rat_muscle_46A	93	93.29266666666669	PMI_rat_muscle_29A	PMI_rat_muscle_46A	Random Forest
PMI_rat_muscle_21A	25	25.301366666666667	PMI_rat_muscle_29A	PMI_rat_muscle_21A	Random Forest
PMI_rat_muscle_49A	94	89.07786666666668	PMI_rat_muscle_29A	PMI_rat_muscle_49A	Random Forest
PMI_rat_muscle_49A	94	89.73300000000002	PMI_rat_muscle_29A	PMI_rat_muscle_49A	Random Forest
PMI_rat_muscle_39A	69	68.32189999999996	PMI_rat_muscle_29A	PMI_rat_muscle_39A	Random Forest
PMI_rat_muscle_36A	70	82.86019999999998	PMI_rat_muscle_29A	PMI_rat_muscle_36A	Random Forest
PMI_rat_muscle_15A	21	21.195852380952395	PMI_rat_muscle_29A	PMI_rat_muscle_15A	Random Forest
PMI_rat_muscle_29A	47	45.87566666666669	PMI_rat_muscle_44A	PMI_rat_muscle_29A	Random Forest
PMI_rat_muscle_13A	24	26.125666666666657	PMI_rat_muscle_44A	PMI_rat_muscle_13A	Random Forest
PMI_rat_muscle_13A	24	24.568333333333328	PMI_rat_muscle_44A	PMI_rat_muscle_13A	Random Forest
PMI_rat_muscle_7A	0	1.01	PMI_rat_muscle_44A	PMI_rat_muscle_7A	Random Forest
PMI_rat_muscle_7A	0	0.086	PMI_rat_muscle_44A	PMI_rat_muscle_7A	Random Forest
PMI_rat_muscle_17A	23	22.110433333333333	PMI_rat_muscle_44A	PMI_rat_muscle_17A	Random Forest
PMI_rat_muscle_1A	0	0.134	PMI_rat_muscle_44A	PMI_rat_muscle_1A	Random Forest
PMI_rat_muscle_32A	49	47.23400000000003	PMI_rat_muscle_44A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_32A	49	47.872933333333364	PMI_rat_muscle_44A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_42A	72	77.90233333333333	PMI_rat_muscle_44A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_42A	72	76.60963333333335	PMI_rat_muscle_44A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_47A	95	92.29950000000001	PMI_rat_muscle_44A	PMI_rat_muscle_47A	Random Forest
PMI_rat_muscle_31A	47	41.02433333333334	PMI_rat_muscle_44A	PMI_rat_muscle_31A	Random Forest
PMI_rat_muscle_38A	71	70.64166666666667	PMI_rat_muscle_44A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_38A	71	70.339	PMI_rat_muscle_44A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_4A	0	0	PMI_rat_muscle_44A	PMI_rat_muscle_4A	Random Forest
PMI_rat_muscle_30A	47	47.992566666666654	PMI_rat_muscle_44A	PMI_rat_muscle_30A	Random Forest
PMI_rat_muscle_33A	71	73.2844761904762	PMI_rat_muscle_44A	PMI_rat_muscle_33A	Random Forest
PMI_rat_muscle_35A	70	68.95913333333333	PMI_rat_muscle_44A	PMI_rat_muscle_35A	Random Forest
PMI_rat_muscle_14A	23	24.295333333333332	PMI_rat_muscle_44A	PMI_rat_muscle_14A	Random Forest
PMI_rat_muscle_22A	22	17.42666666666667	PMI_rat_muscle_44A	PMI_rat_muscle_22A	Random Forest
PMI_rat_muscle_16A	22	22.86187142857143	PMI_rat_muscle_44A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_16A	22	22.661147619047625	PMI_rat_muscle_44A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_24A	46	46.498666666666665	PMI_rat_muscle_44A	PMI_rat_muscle_24A	Random Forest
PMI_rat_muscle_37A	72	70.60799999999999	PMI_rat_muscle_44A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_37A	72	71.707	PMI_rat_muscle_44A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_2A	0	0.9777619047619047	PMI_rat_muscle_44A	PMI_rat_muscle_2A	Random Forest
PMI_rat_muscle_5A	0	0.9214333333333333	PMI_rat_muscle_44A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_5A	0	0.9244333333333332	PMI_rat_muscle_44A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_28A	47	49.957666666666675	PMI_rat_muscle_44A	PMI_rat_muscle_28A	Random Forest
PMI_rat_muscle_41A	72	74.99036666666665	PMI_rat_muscle_44A	PMI_rat_muscle_41A	Random Forest
PMI_rat_muscle_50A	97	90.76173333333342	PMI_rat_muscle_44A	PMI_rat_muscle_50A	Random Forest
PMI_rat_muscle_45A	96	94.3535666666667	PMI_rat_muscle_44A	PMI_rat_muscle_45A	Random Forest
PMI_rat_muscle_51A	96	84.62850952380948	PMI_rat_muscle_44A	PMI_rat_muscle_51A	Random Forest
PMI_rat_muscle_40A	71	71.35746666666668	PMI_rat_muscle_44A	PMI_rat_muscle_40A	Random Forest
PMI_rat_muscle_27A	45	51.05019047619051	PMI_rat_muscle_44A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_27A	45	49.23814761904764	PMI_rat_muscle_44A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_12A	22	25.482233333333337	PMI_rat_muscle_44A	PMI_rat_muscle_12A	Random Forest
PMI_rat_muscle_10A	0	3.6433190476190473	PMI_rat_muscle_44A	PMI_rat_muscle_10A	Random Forest
PMI_rat_muscle_43A	94	86.834	PMI_rat_muscle_44A	PMI_rat_muscle_43A	Random Forest
PMI_rat_muscle_3A	0	0.3046666666666667	PMI_rat_muscle_44A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_3A	0	0.183	PMI_rat_muscle_44A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_11A	0	0.3162	PMI_rat_muscle_44A	PMI_rat_muscle_11A	Random Forest
PMI_rat_muscle_8A	0	0.044	PMI_rat_muscle_44A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_8A	0	0.086	PMI_rat_muscle_44A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_25A	48	49.324	PMI_rat_muscle_44A	PMI_rat_muscle_25A	Random Forest
PMI_rat_muscle_52A	95	94.27999999999996	PMI_rat_muscle_44A	PMI_rat_muscle_52A	Random Forest
PMI_rat_muscle_6A	0	2.0262666666666664	PMI_rat_muscle_44A	PMI_rat_muscle_6A	Random Forest
PMI_rat_muscle_20A	25	26.90166666666666	PMI_rat_muscle_44A	PMI_rat_muscle_20A	Random Forest
PMI_rat_muscle_34A	69	65.43430476190478	PMI_rat_muscle_44A	PMI_rat_muscle_34A	Random Forest
PMI_rat_muscle_9A	0	0	PMI_rat_muscle_44A	PMI_rat_muscle_9A	Random Forest
PMI_rat_muscle_26A	45	40.54083333333336	PMI_rat_muscle_44A	PMI_rat_muscle_26A	Random Forest
PMI_rat_muscle_48A	95	94.4291333333334	PMI_rat_muscle_44A	PMI_rat_muscle_48A	Random Forest
PMI_rat_muscle_18A	23	22.64680000000001	PMI_rat_muscle_44A	PMI_rat_muscle_18A	Random Forest
PMI_rat_muscle_23A	45	46.09466666666666	PMI_rat_muscle_44A	PMI_rat_muscle_23A	Random Forest
PMI_rat_muscle_23A	45	46.121666666666655	PMI_rat_muscle_44A	PMI_rat_muscle_23A	Random Forest
PMI_rat_muscle_19A	24	24.67368571428571	PMI_rat_muscle_44A	PMI_rat_muscle_19A	Random Forest
PMI_rat_muscle_46A	93	93.44466666666668	PMI_rat_muscle_44A	PMI_rat_muscle_46A	Random Forest
PMI_rat_muscle_21A	25	25.65463333333332	PMI_rat_muscle_44A	PMI_rat_muscle_21A	Random Forest
PMI_rat_muscle_49A	94	87.07899999999995	PMI_rat_muscle_44A	PMI_rat_muscle_49A	Random Forest
PMI_rat_muscle_49A	94	87.4693333333333	PMI_rat_muscle_44A	PMI_rat_muscle_49A	Random Forest
PMI_rat_muscle_39A	69	68.06142380952379	PMI_rat_muscle_44A	PMI_rat_muscle_39A	Random Forest
PMI_rat_muscle_36A	70	82.89910952380951	PMI_rat_muscle_44A	PMI_rat_muscle_36A	Random Forest
PMI_rat_muscle_15A	21	21.906633333333332	PMI_rat_muscle_44A	PMI_rat_muscle_15A	Random Forest
PMI_rat_muscle_29A	47	45.053566666666654	PMI_rat_muscle_13A	PMI_rat_muscle_29A	Random Forest
PMI_rat_muscle_44A	93	93.83800000000001	PMI_rat_muscle_13A	PMI_rat_muscle_44A	Random Forest
PMI_rat_muscle_7A	0	1.0548000000000002	PMI_rat_muscle_13A	PMI_rat_muscle_7A	Random Forest
PMI_rat_muscle_7A	0	0.092	PMI_rat_muscle_13A	PMI_rat_muscle_7A	Random Forest
PMI_rat_muscle_17A	23	21.44133333333334	PMI_rat_muscle_13A	PMI_rat_muscle_17A	Random Forest
PMI_rat_muscle_1A	0	1.0240333333333334	PMI_rat_muscle_13A	PMI_rat_muscle_1A	Random Forest
PMI_rat_muscle_32A	49	47.22406666666671	PMI_rat_muscle_13A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_32A	49	47.73196666666671	PMI_rat_muscle_13A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_42A	72	77.42566666666667	PMI_rat_muscle_13A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_42A	72	76.18900000000002	PMI_rat_muscle_13A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_47A	95	92.63353333333339	PMI_rat_muscle_13A	PMI_rat_muscle_47A	Random Forest
PMI_rat_muscle_31A	47	40.78209999999999	PMI_rat_muscle_13A	PMI_rat_muscle_31A	Random Forest
PMI_rat_muscle_38A	71	70.37791428571431	PMI_rat_muscle_13A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_38A	71	69.3536619047619	PMI_rat_muscle_13A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_4A	0	0	PMI_rat_muscle_13A	PMI_rat_muscle_4A	Random Forest
PMI_rat_muscle_30A	47	46.7432666666667	PMI_rat_muscle_13A	PMI_rat_muscle_30A	Random Forest
PMI_rat_muscle_33A	71	72.57293333333334	PMI_rat_muscle_13A	PMI_rat_muscle_33A	Random Forest
PMI_rat_muscle_35A	70	68.18386666666667	PMI_rat_muscle_13A	PMI_rat_muscle_35A	Random Forest
PMI_rat_muscle_14A	23	25.463966666666668	PMI_rat_muscle_13A	PMI_rat_muscle_14A	Random Forest
PMI_rat_muscle_22A	22	17.84803333333334	PMI_rat_muscle_13A	PMI_rat_muscle_22A	Random Forest
PMI_rat_muscle_16A	22	24.155419047619073	PMI_rat_muscle_13A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_16A	22	23.644609523809557	PMI_rat_muscle_13A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_24A	46	47.86633333333332	PMI_rat_muscle_13A	PMI_rat_muscle_24A	Random Forest
PMI_rat_muscle_37A	72	70.35756666666673	PMI_rat_muscle_13A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_37A	72	70.3788666666667	PMI_rat_muscle_13A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_2A	0	4.464166666666667	PMI_rat_muscle_13A	PMI_rat_muscle_2A	Random Forest
PMI_rat_muscle_5A	0	0.4837333333333333	PMI_rat_muscle_13A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_5A	0	0.9558333333333334	PMI_rat_muscle_13A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_28A	47	49.10663333333333	PMI_rat_muscle_13A	PMI_rat_muscle_28A	Random Forest
PMI_rat_muscle_41A	72	74.43766666666667	PMI_rat_muscle_13A	PMI_rat_muscle_41A	Random Forest
PMI_rat_muscle_50A	97	91.05263333333335	PMI_rat_muscle_13A	PMI_rat_muscle_50A	Random Forest
PMI_rat_muscle_45A	96	93.91369999999996	PMI_rat_muscle_13A	PMI_rat_muscle_45A	Random Forest
PMI_rat_muscle_51A	96	84.53033333333333	PMI_rat_muscle_13A	PMI_rat_muscle_51A	Random Forest
PMI_rat_muscle_40A	71	70.93000000000002	PMI_rat_muscle_13A	PMI_rat_muscle_40A	Random Forest
PMI_rat_muscle_27A	45	51.45977142857144	PMI_rat_muscle_13A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_27A	45	49.95061428571431	PMI_rat_muscle_13A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_12A	22	25.633000000000003	PMI_rat_muscle_13A	PMI_rat_muscle_12A	Random Forest
PMI_rat_muscle_10A	0	3.984019047619048	PMI_rat_muscle_13A	PMI_rat_muscle_10A	Random Forest
PMI_rat_muscle_43A	94	85.755	PMI_rat_muscle_13A	PMI_rat_muscle_43A	Random Forest
PMI_rat_muscle_3A	0	0.26612857142857144	PMI_rat_muscle_13A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_3A	0	0.3499999999999999	PMI_rat_muscle_13A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_11A	0	0.8046666666666668	PMI_rat_muscle_13A	PMI_rat_muscle_11A	Random Forest
PMI_rat_muscle_8A	0	0.042	PMI_rat_muscle_13A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_8A	0	0.12933333333333336	PMI_rat_muscle_13A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_25A	48	51.13336666666669	PMI_rat_muscle_13A	PMI_rat_muscle_25A	Random Forest
PMI_rat_muscle_52A	95	94.84566666666667	PMI_rat_muscle_13A	PMI_rat_muscle_52A	Random Forest
PMI_rat_muscle_6A	0	1.553	PMI_rat_muscle_13A	PMI_rat_muscle_6A	Random Forest
PMI_rat_muscle_20A	25	29.84139047619049	PMI_rat_muscle_13A	PMI_rat_muscle_20A	Random Forest
PMI_rat_muscle_34A	69	66.03454761904763	PMI_rat_muscle_13A	PMI_rat_muscle_34A	Random Forest
PMI_rat_muscle_9A	0	0.088	PMI_rat_muscle_13A	PMI_rat_muscle_9A	Random Forest
PMI_rat_muscle_26A	45	42.46183333333333	PMI_rat_muscle_13A	PMI_rat_muscle_26A	Random Forest
PMI_rat_muscle_48A	95	94.30423333333334	PMI_rat_muscle_13A	PMI_rat_muscle_48A	Random Forest
PMI_rat_muscle_18A	23	22.319299999999984	PMI_rat_muscle_13A	PMI_rat_muscle_18A	Random Forest
PMI_rat_muscle_23A	45	47.87299999999999	PMI_rat_muscle_13A	PMI_rat_muscle_23A	Random Forest
PMI_rat_muscle_23A	45	46.902999999999984	PMI_rat_muscle_13A	PMI_rat_muscle_23A	Random Forest
PMI_rat_muscle_19A	24	24.242904761904747	PMI_rat_muscle_13A	PMI_rat_muscle_19A	Random Forest
PMI_rat_muscle_46A	93	93.59530000000002	PMI_rat_muscle_13A	PMI_rat_muscle_46A	Random Forest
PMI_rat_muscle_21A	25	27.965033333333327	PMI_rat_muscle_13A	PMI_rat_muscle_21A	Random Forest
PMI_rat_muscle_49A	94	89.30603333333327	PMI_rat_muscle_13A	PMI_rat_muscle_49A	Random Forest
PMI_rat_muscle_49A	94	89.80883333333333	PMI_rat_muscle_13A	PMI_rat_muscle_49A	Random Forest
PMI_rat_muscle_39A	69	67.26066666666668	PMI_rat_muscle_13A	PMI_rat_muscle_39A	Random Forest
PMI_rat_muscle_36A	70	82.37894761904761	PMI_rat_muscle_13A	PMI_rat_muscle_36A	Random Forest
PMI_rat_muscle_15A	21	21.022666666666673	PMI_rat_muscle_13A	PMI_rat_muscle_15A	Random Forest
PMI_rat_muscle_29A	47	45.27465238095242	PMI_rat_muscle_7A	PMI_rat_muscle_29A	Random Forest
PMI_rat_muscle_44A	93	94.35536190476195	PMI_rat_muscle_7A	PMI_rat_muscle_44A	Random Forest
PMI_rat_muscle_13A	24	25.840514285714267	PMI_rat_muscle_7A	PMI_rat_muscle_13A	Random Forest
PMI_rat_muscle_13A	24	24.606538095238083	PMI_rat_muscle_7A	PMI_rat_muscle_13A	Random Forest
PMI_rat_muscle_17A	23	22.10616666666667	PMI_rat_muscle_7A	PMI_rat_muscle_17A	Random Forest
PMI_rat_muscle_1A	0	1.2607999999999997	PMI_rat_muscle_7A	PMI_rat_muscle_1A	Random Forest
PMI_rat_muscle_32A	49	47.20193333333337	PMI_rat_muscle_7A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_32A	49	47.75163333333336	PMI_rat_muscle_7A	PMI_rat_muscle_32A	Random Forest
PMI_rat_muscle_42A	72	76.8100238095238	PMI_rat_muscle_7A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_42A	72	75.20709523809528	PMI_rat_muscle_7A	PMI_rat_muscle_42A	Random Forest
PMI_rat_muscle_47A	95	92.77366666666668	PMI_rat_muscle_7A	PMI_rat_muscle_47A	Random Forest
PMI_rat_muscle_31A	47	40.309766666666654	PMI_rat_muscle_7A	PMI_rat_muscle_31A	Random Forest
PMI_rat_muscle_38A	71	70.73963333333333	PMI_rat_muscle_7A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_38A	71	69.45323333333332	PMI_rat_muscle_7A	PMI_rat_muscle_38A	Random Forest
PMI_rat_muscle_4A	0	0.128	PMI_rat_muscle_7A	PMI_rat_muscle_4A	Random Forest
PMI_rat_muscle_30A	47	47.340814285714295	PMI_rat_muscle_7A	PMI_rat_muscle_30A	Random Forest
PMI_rat_muscle_33A	71	72.1313	PMI_rat_muscle_7A	PMI_rat_muscle_33A	Random Forest
PMI_rat_muscle_35A	70	68.28433333333331	PMI_rat_muscle_7A	PMI_rat_muscle_35A	Random Forest
PMI_rat_muscle_14A	23	24.504	PMI_rat_muscle_7A	PMI_rat_muscle_14A	Random Forest
PMI_rat_muscle_22A	22	18.19066666666667	PMI_rat_muscle_7A	PMI_rat_muscle_22A	Random Forest
PMI_rat_muscle_16A	22	20.745366666666676	PMI_rat_muscle_7A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_16A	22	20.22610000000001	PMI_rat_muscle_7A	PMI_rat_muscle_16A	Random Forest
PMI_rat_muscle_24A	46	47.65966666666666	PMI_rat_muscle_7A	PMI_rat_muscle_24A	Random Forest
PMI_rat_muscle_37A	72	70.5531	PMI_rat_muscle_7A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_37A	72	70.72546666666668	PMI_rat_muscle_7A	PMI_rat_muscle_37A	Random Forest
PMI_rat_muscle_2A	0	3.3830142857142858	PMI_rat_muscle_7A	PMI_rat_muscle_2A	Random Forest
PMI_rat_muscle_5A	0	0.852	PMI_rat_muscle_7A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_5A	0	1.0226666666666668	PMI_rat_muscle_7A	PMI_rat_muscle_5A	Random Forest
PMI_rat_muscle_28A	47	48.94813809523809	PMI_rat_muscle_7A	PMI_rat_muscle_28A	Random Forest
PMI_rat_muscle_41A	72	74.15966666666667	PMI_rat_muscle_7A	PMI_rat_muscle_41A	Random Forest
PMI_rat_muscle_50A	97	90.56899047619048	PMI_rat_muscle_7A	PMI_rat_muscle_50A	Random Forest
PMI_rat_muscle_45A	96	94.15033333333335	PMI_rat_muscle_7A	PMI_rat_muscle_45A	Random Forest
PMI_rat_muscle_51A	96	85.32666666666667	PMI_rat_muscle_7A	PMI_rat_muscle_51A	Random Forest
PMI_rat_muscle_40A	71	71.35866666666666	PMI_rat_muscle_7A	PMI_rat_muscle_40A	Random Forest
PMI_rat_muscle_27A	45	52.27699999999999	PMI_rat_muscle_7A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_27A	45	50.49066666666665	PMI_rat_muscle_7A	PMI_rat_muscle_27A	Random Forest
PMI_rat_muscle_12A	22	25.568290476190487	PMI_rat_muscle_7A	PMI_rat_muscle_12A	Random Forest
PMI_rat_muscle_10A	0	4.4685	PMI_rat_muscle_7A	PMI_rat_muscle_10A	Random Forest
PMI_rat_muscle_43A	94	86.75300000000001	PMI_rat_muscle_7A	PMI_rat_muscle_43A	Random Forest
PMI_rat_muscle_3A	0	0.1748	PMI_rat_muscle_7A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_3A	0	0.1316	PMI_rat_muscle_7A	PMI_rat_muscle_3A	Random Forest
PMI_rat_muscle_11A	0	1.1923333333333335	PMI_rat_muscle_7A	PMI_rat_muscle_11A	Random Forest
PMI_rat_muscle_8A	0	0.046	PMI_rat_muscle_7A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_8A	0	0.086	PMI_rat_muscle_7A	PMI_rat_muscle_8A	Random Forest
PMI_rat_muscle_25A	48	51.02038571428568	PMI_rat_muscle_7A	PMI_rat_muscle_25A	Random Forest
PMI_rat_muscle_52A	95	93.95933333333338	PMI_rat_muscle_7A	PMI_rat_muscle_52A	Random Forest
PMI_rat_muscle_6A	0	1.9776666666666667	PMI_rat_muscle_7A	PMI_rat_muscle_6A	Random Forest
PMI_rat_muscle_20A	25	26.96263333333334	PMI_rat_muscle_7A	PMI_rat_muscle_20A	Random Forest
PMI_rat_muscle_34A	69	64.72552380952378	PMI_rat_muscle_7A	PMI_rat_muscle_34A	Random Forest
PMI_rat_muscle_9A	0	0	PMI_rat_muscle_7A	PMI_rat_muscle_9A	Random Forest
PMI_rat_muscle_26A	45	40.8765666666667	PMI_rat_muscle_7A	PMI_rat_muscle_26A	Random Forest
PMI_rat_muscle_48A	95	94.67689999999997	PMI_rat_muscle_7A	PMI_rat_muscle_48A	Random Forest
